*719EB	𐝃𐝁
*720EE	𐝃𐝃
*721EF	𐝃𐝄
*722EJ	𐝃𐝆
*723EL2	𐝃𐝉
*724EL4	𐝃𐝋
*725EL6	𐝃𐝌
*726EYYY	𐝔
*727FK	𐝄𐝇
*728FL	𐝄𐝈
*729HK	𐝅𐝇
*730J	𐝆𐝀
*731JB	𐝆𐝁
*732JE	𐝕
*733JEB	𐝆𐝃𐝁
*734JEL2	𐝆𐝃𐝉
*735JF	𐝆𐝄
*736JH	𐝆𐝅
*737JJ	𐝆𐝆
*738JK	𐝆𐝇
*739JL2	𐝆𐝉
*740KL2	𐝇𐝉
*741LL	𐝈𐝈
*742LL2	𐝈𐝉
*743L2L4	𐝉𐝋
*800	𐝠
*801	𐝡
*802	𐝢
*803	𐝣
*804	𐝤
*805	𐝥
*806	𐝦
*807	𐝧
*808	𐙇𐘍
*900	𐄁
*901	𐄀
*902	𐄀
*903	𐄂
*904	𐙫
*905	𐝆
*906	𐝇
*907	𐘗
*908	𐘳
*809	𐝬
*810	𐝭
*811	𐝮
*812	𐚢𐘌𐘰
*813	𐚯𐘲𐘫
*814	𐚰𐘾𐘁𐘰
*815	𐚢
*816	𐚢𐘲𐘰𐘴
*817	𐚢𐘂𐘳𐘿
*818	𐙞𐘸𐘫
*819	𐙝𐘀𐘫
*820	𐙝𐘶𐘸
*821	𐙝𐘭𐘶
*822	𐙟𐘀𐘶
*823	𐙟𐘘𐘾
*824	𐙝𐘭
*825	𐙞𐘭𐘶
*826	𐚥𐝇
*827	𐙄𐘤𐘙
*828	𐘮𐘃
*829	𐝯
