	0
𐄚𐄔𐄊	254
𐄚𐄔𐄋	255
𐄚𐄔𐄌	256
𐄚𐄔𐄍	257
𐄚𐄔𐄎	258
𐄚𐄔𐄏	259
𐄚𐄕	260
𐄚𐄕𐄇	261
𐄚𐄕𐄈	262
𐄚𐄕𐄉	263
𐄚𐄕𐄊	264
𐄚𐄕𐄋	265
𐄚𐄕𐄌	266
𐄚𐄕𐄍	267
𐄚𐄕𐄎	268
𐄚𐄕𐄏	269
𐄚𐄖	270
𐄚𐄖𐄇	271
𐄚𐄖𐄈	272
𐄚𐄖𐄉	273
𐄚𐄖𐄊	274
𐄚𐄖𐄋	275
𐄚𐄖𐄌	276
𐄚𐄖𐄍	277
𐄚𐄖𐄎	278
𐄚𐄖𐄏	279
𐄚𐄗	280
𐄚𐄗𐄇	281
𐄚𐄗𐄈	282
𐄚𐄗𐄉	283
𐄚𐄗𐄊	284
𐄚𐄗𐄋	285
𐄚𐄗𐄌	286
𐄚𐄗𐄍	287
𐄚𐄗𐄎	288
𐄚𐄗𐄏	289
𐄚𐄘	290
𐄚𐄘𐄇	291
𐄚𐄘𐄈	291
𐄚𐄘𐄉	293
𐄚𐄘𐄊	294
𐄚𐄘𐄋	295
𐄚𐄘𐄌	296
𐄚𐄘𐄍	297
𐄚𐄘𐄎	298
𐄚𐄘𐄏	299
𐄛	300
𐄛𐄇	301
𐄛𐄈	302
𐄛𐄉	303
𐄛𐄊	304
𐄛𐄋	305
𐄛𐄌	306
𐄛𐄍	307
𐄛𐄎	308
𐄛𐄏	309
𐄛𐄐	310
𐄛𐄐𐄇	311
𐄛𐄐𐄈	312
𐄛𐄐𐄉	313
𐄛𐄐𐄊	314
𐄛𐄐𐄋	315
𐄛𐄐𐄌	316
𐄛𐄐𐄍	317
𐄛𐄐𐄎	318
𐄛𐄐𐄏	319
𐄛𐄑	320
𐄛𐄑𐄇	321
𐄛𐄑𐄈	322
𐄛𐄑𐄉	323
𐄛𐄑𐄊	324
𐄛𐄑𐄋	325
𐄛𐄑𐄌	326
𐄛𐄑𐄍	327
𐄛𐄑𐄎	328
𐄛𐄑𐄏	329
𐄛𐄒	330
𐄛𐄒𐄇	331
𐄛𐄒𐄈	332
𐄛𐄒𐄉	333
𐄛𐄒𐄊	334
𐄛𐄒𐄋	335
𐄛𐄒𐄌	336
𐄛𐄒𐄍	337
𐄛𐄒𐄎	338
𐄛𐄒𐄏	339
𐄛𐄓	340
𐄛𐄓𐄇	341
𐄛𐄓𐄈	342
𐄛𐄓𐄉	343
𐄛𐄓𐄊	344
𐄛𐄓𐄋	345
𐄛𐄓𐄌	346
𐄛𐄓𐄍	347
𐄛𐄓𐄎	348
𐄛𐄓𐄏	349
𐄛𐄔	350
𐄛𐄔𐄇	351
𐄛𐄔𐄈	352
𐄛𐄔𐄉	353
𐄛𐄔𐄊	354
𐄛𐄔𐄋	355
𐄛𐄔𐄌	356
𐄛𐄔𐄍	357
𐄛𐄔𐄎	358
𐄛𐄔𐄏	359
𐄛𐄕	360
𐄛𐄕𐄇	361
𐄛𐄕𐄈	362
𐄛𐄕𐄉	363
𐄛𐄕𐄊	364
𐄛𐄕𐄋	365
𐄛𐄕𐄌	366
𐄛𐄕𐄍	367
𐄛𐄕𐄎	368
𐄛𐄕𐄏	369
𐄛𐄖	370
𐄛𐄖𐄇	371
𐄛𐄖𐄈	372
𐄛𐄖𐄉	373
𐄛𐄖𐄊	374
𐄛𐄖𐄋	375
𐄛𐄖𐄌	376
𐄛𐄖𐄍	377
𐄛𐄖𐄎	378
𐄛𐄖𐄏	379
𐄛𐄗	380
𐄛𐄗𐄇	381
𐄛𐄗𐄈	382
𐄛𐄗𐄉	383
𐄛𐄗𐄊	384
𐄛𐄗𐄋	385
𐄛𐄗𐄌	386
𐄛𐄗𐄍	387
𐄛𐄗𐄎	388
𐄛𐄗𐄏	389
𐄛𐄘	390
𐄛𐄘𐄇	391
𐄛𐄘𐄈	392
𐄛𐄘𐄉	393
𐄛𐄘𐄊	394
𐄛𐄘𐄋	395
𐄛𐄘𐄌	396
𐄛𐄘𐄍	397
𐄛𐄘𐄎	398
𐄛𐄘𐄏	399
𐄜	400
𐄜𐄇	401
𐄜𐄈	402
𐄜𐄉	403
𐄜𐄊	404
𐄜𐄋	405
𐄜𐄌	406
𐄜𐄍	407
𐄜𐄎	408
𐄜𐄏	409
𐄜𐄐	410
𐄜𐄐𐄇	411
𐄜𐄐𐄈	412
𐄜𐄐𐄉	413
𐄜𐄐𐄊	414
𐄜𐄐𐄋	415
𐄜𐄐𐄌	416
𐄜𐄐𐄍	417
𐄜𐄐𐄎	418
𐄜𐄐𐄏	419
𐄜𐄑	402
𐄜𐄑𐄇	421
𐄜𐄑𐄈	422
𐄜𐄑𐄉	423
𐄜𐄑𐄊	424
𐄜𐄑𐄋	425
𐄜𐄑𐄌	426
𐄜𐄑𐄍	427
𐄜𐄑𐄎	428
𐄜𐄑𐄏	429
𐄜𐄒	430
𐄜𐄒𐄇	431
𐄜𐄒𐄈	432
𐄜𐄒𐄉	433
𐄜𐄒𐄊	434
𐄜𐄒𐄋	435
𐄜𐄒𐄌	436
𐄜𐄒𐄍	437
𐄜𐄒𐄎	438
𐄜𐄒𐄏	439
𐄜𐄓	440
𐄜𐄓𐄇	441
𐄜𐄓𐄈	442
𐄜𐄓𐄉	443
𐄜𐄓𐄊	444
𐄜𐄓𐄋	445
𐄜𐄓𐄌	446
𐄜𐄓𐄍	447
𐄜𐄓𐄎	448
𐄜𐄓𐄏	449
𐄜𐄔	450
𐄜𐄔𐄇	451
𐄜𐄔𐄈	451
𐄜𐄔𐄉	453
𐄜𐄔𐄊	454
𐄜𐄔𐄋	455
𐄜𐄔𐄌	456
𐄜𐄔𐄍	457
𐄜𐄔𐄎	458
𐄜𐄔𐄏	459
𐄜𐄕	460
𐄜𐄕𐄇	461
𐄜𐄕𐄈	462
𐄜𐄕𐄉	463
𐄜𐄕𐄊	464
𐄜𐄕𐄋	465
𐄜𐄕𐄌	466
𐄜𐄕𐄍	467
𐄜𐄕𐄎	468
𐄜𐄕𐄏	469
𐄜𐄖	470
𐄜𐄖𐄇	471
𐄜𐄖𐄈	472
𐄜𐄖𐄉	473
𐄜𐄖𐄊	474
𐄜𐄖𐄋	475
𐄜𐄖𐄌	476
𐄜𐄖𐄍	477
𐄜𐄖𐄎	478
𐄜𐄖𐄏	479
𐄜𐄗	480
𐄜𐄗𐄇	481
𐄜𐄗𐄈	482
𐄜𐄗𐄉	483
𐄜𐄗𐄊	484
𐄜𐄗𐄋	485
𐄜𐄗𐄌	486
𐄜𐄗𐄍	487
𐄜𐄗𐄎	488
𐄜𐄗𐄏	489
𐄜𐄘	490
𐄜𐄘𐄇	491
𐄜𐄘𐄈	492
𐄜𐄘𐄉	493
𐄜𐄘𐄊	494
𐄜𐄘𐄋	495
𐄜𐄘𐄌	496
𐄜𐄘𐄍	497
𐄜𐄘𐄎	498
𐄜𐄘𐄏	499
𐄝	500
𐄝𐄇	501
𐄝𐄈	502
𐄝𐄉	503
𐄝𐄊	504
𐄝𐄋	505
𐄝𐄌	506
𐄝𐄍	507
𐄝𐄎	508
𐄝𐄏	509
𐄝𐄐	510
𐄝𐄐𐄇	511
𐄝𐄐𐄈	512
𐄝𐄐𐄉	513
𐄝𐄐𐄊	514
𐄝𐄐𐄋	515
𐄝𐄐𐄌	516
𐄝𐄐𐄍	517
𐄝𐄐𐄎	518
𐄝𐄐𐄏	519
𐄝𐄑	520
𐄝𐄑𐄇	521
𐄝𐄑𐄈	522
𐄝𐄑𐄉	523
𐄝𐄑𐄊	524
𐄝𐄑𐄋	525
𐄝𐄑𐄌	526
𐄝𐄑𐄍	527
𐄝𐄑𐄎	528
𐄝𐄑𐄏	529
𐄝𐄒	530
𐄝𐄒𐄇	531
𐄝𐄒𐄈	532
𐄝𐄒𐄉	533
𐄝𐄒𐄊	534
𐄝𐄒𐄋	535
𐄝𐄒𐄌	536
𐄝𐄒𐄍	537
𐄝𐄒𐄎	538
𐄝𐄒𐄏	539
𐄝𐄓	540
𐄝𐄓𐄇	541
𐄝𐄓𐄈	542
𐄝𐄓𐄉	543
